Name,NetWorth,Country,Source,Rank,Age,Industry
Jeff Bezos,177.0,United States,Amazon,1,57.0,Technology
Elon Musk,151.0,United States,"Tesla, SpaceX",2,49.0,Automotive
Bernard Arnault & family,150.0,France,LVMH,3,72.0,Fashion & Retail
Bill Gates,124.0,United States,Microsoft,4,65.0,Technology
Mark Zuckerberg,97.0,United States,Facebook,5,36.0,Technology
Warren Buffett,96.0,United States,Berkshire Hathaway,6,90.0,Finance & Investments
Larry Ellison,93.0,United States,software,7,76.0,Technology
Larry Page,91.5,United States,Google,8,48.0,Technology
Sergey Brin,89.0,United States,Google,9,47.0,Technology
Mukesh Ambani,84.5,India,diversified,10,63.0,Diversified
Amancio Ortega,77.0,Spain,Zara,11,85.0,Fashion & Retail
Francoise Bettencourt Meyers & family,73.6,France,L'Oréal,12,67.0,Fashion & Retail
Zhong Shanshan,68.9,China,"beverages, pharmaceuticals",13,66.0,Food & Beverage
Steve Ballmer,68.7,United States,Microsoft,14,65.0,Technology
Ma Huateng,65.8,China,internet media,15,49.0,Technology
Carlos Slim Helu & family,62.8,Mexico,telecom,16,81.0,Telecom
Alice Walton,61.8,United States,Walmart,17,71.0,Fashion & Retail
Jim Walton,60.2,United States,Walmart,18,72.0,Fashion & Retail
Rob Walton,59.5,United States,Walmart,19,76.0,Fashion & Retail
Michael Bloomberg,59.0,United States,Bloomberg LP,20,79.0,Media & Entertainment
Colin Zheng Huang,55.3,China,e-commerce,21,41.0,Technology
MacKenzie Scott,53.0,United States,Amazon,22,50.0,Technology
Daniel Gilbert,51.9,United States,Quicken Loans,23,59.0,Finance & Investments
Gautam Adani & family,50.5,India,"infrastructure, commodities",24,58.0,Diversified
Phil Knight & family,49.9,United States,Nike,25,83.0,Fashion & Retail
Jack Ma,48.4,China,e-commerce,26,56.0,Technology
Charles Koch,46.4,United States,Koch Industries,27,85.0,Diversified
Julia Koch & family,46.4,United States,Koch Industries,27,58.0,Diversified
Masayoshi Son,45.4,Japan,"internet, telecom",29,63.0,Telecom
Michael Dell,45.1,United States,Dell computers,30,56.0,Technology
Tadashi Yanai & family,44.1,Japan,fashion retail,31,72.0,Fashion & Retail
François Pinault & family,42.3,France,luxury goods,32,84.0,Fashion & Retail
David Thomson & family,41.8,Canada,media,33,63.0,Media & Entertainment
Beate Heister & Karl Albrecht Jr.,39.2,Germany,supermarkets,34,69.0,Fashion & Retail
Wang Wei,39.0,China,package delivery,35,50.0,Service
Miriam Adelson,38.2,United States,casinos,36,75.0,Gambling & Casinos
He Xiangjian,37.7,China,home appliances,37,78.0,Manufacturing
Dieter Schwarz,36.9,Germany,retail,38,81.0,Fashion & Retail
Zhang Yiming,35.6,China,TikTok,39,37.0,Technology
Giovanni Ferrero,35.1,Italy,"Nutella, chocolates",40,56.0,Food & Beverage
Alain Wertheimer,34.5,France,Chanel,41,72.0,Fashion & Retail
Gerard Wertheimer,34.5,France,Chanel,41,70.0,Fashion & Retail
Li Ka-shing,33.7,Hong Kong,diversified,43,92.0,Diversified
Qin Yinglin & family,33.5,China,pig breeding,44,55.0,Food & Beverage
William Lei Ding,33.0,China,online games,45,49.0,Technology
Len Blavatnik,32.0,United States,"music, chemicals",46,63.0,Diversified
Lee Shau Kee,31.7,Hong Kong,real estate,47,93.0,Real Estate
Jacqueline Mars,31.3,United States,"candy, pet food",48,81.0,Food & Beverage
John Mars,31.3,United States,"candy, pet food",48,85.0,Food & Beverage
Yang Huiyan & family,29.6,China,real estate,50,39.0,Real Estate
Alexey Mordashov & family,29.1,Russia,"steel, investments",51,55.0,Metals & Mining
Robin Zeng,28.4,Hong Kong,batteries,52,52.0,Energy
Hui Ka Yan,27.7,China,real estate,53,62.0,Real Estate
Susanne Klatten,27.7,Germany,"BMW, pharmaceuticals",53,58.0,Automotive
Vladimir Potanin,27.0,Russia,metals,55,60.0,Metals & Mining
Dietrich Mateschitz,26.9,Austria,Red Bull,56,76.0,Food & Beverage
Pang Kang,26.4,China,soy sauce,57,65.0,Food & Beverage
Klaus-Michael Kuehne,26.3,Germany,shipping,58,83.0,Logistics
Vladimir Lisin,26.2,Russia,"steel, transport",59,64.0,Metals & Mining
Wang Xing,26.1,China,e-commerce,60,42.0,Technology
German Larrea Mota Velasco & family,25.9,Mexico,mining,61,67.0,Metals & Mining
Leonardo Del Vecchio & family,25.8,Italy,eyeglasses,62,85.0,Fashion & Retail
Takemitsu Takizaki,25.8,Japan,sensors,62,75.0,Manufacturing
Leonard Lauder,25.5,United States,Estee Lauder,64,88.0,Fashion & Retail
Thomas Peterffy,25.0,United States,discount brokerage,65,76.0,Finance & Investments
Vagit Alekperov,24.9,Russia,oil,66,70.0,Energy
Leonid Mikhelson,24.9,Russia,"gas, chemicals",66,65.0,Energy
Jim Simons,24.6,United States,hedge funds,68,82.0,Finance & Investments
Jiang Rensheng & family,24.4,China,vaccines,69,67.0,Healthcare
Gina Rinehart,23.6,Australia,mining,70,67.0,Metals & Mining
Rupert Murdoch & family,23.5,United States,"newspapers, TV network",71,90.0,Media & Entertainment
Shiv Nadar,23.5,India,software services,71,75.0,Technology
Zhang Zhidong,23.4,China,internet media,73,49.0,Technology
Iris Fontbona & family,23.3,Chile,mining,74,78.0,Metals & Mining
Lei Jun,23.0,China,smartphones,75,51.0,Technology
Zhang Yong,23.0,Singapore,restaurants,75,50.0,Food & Beverage
Richard Qiangdong Liu,22.4,China,e-commerce,77,47.0,Technology
Gennady Timchenko,22.0,Russia,"oil, gas",78,68.0,Energy
Stephen Schwarzman,21.9,United States,investments,79,74.0,Finance & Investments
Goh Cheng Liang,21.7,Singapore,paints,80,93.0,Manufacturing
Stefan Quandt,21.6,Germany,BMW,81,54.0,Automotive
Li Xiting,21.5,Singapore,medical devices,82,70.0,Healthcare
Pierre Omidyar,21.4,United States,"eBay, PayPal",83,53.0,Technology
Stefan Persson,21.3,Sweden,H&M,84,73.0,Fashion & Retail
Abigail Johnson,20.9,United States,money management,85,59.0,Finance & Investments
R. Budi Hartono,20.5,Indonesia,"banking, tobacco",86,80.0,Finance & Investments
Andrew Forrest,20.4,Australia,mining,87,59.0,Metals & Mining
Ray Dalio,20.3,United States,hedge funds,88,71.0,Finance & Investments
Michael Hartono,19.7,Indonesia,"banking, tobacco",89,81.0,Manufacturing
Li Shufu,19.7,China,automobiles,89,57.0,Automotive
Zhong Huijuan,19.7,China,pharmaceuticals,89,60.0,Healthcare
Xu Hang,19.5,Hong Kong,medical devices,92,54.0,Healthcare
Lui Che Woo & family,19.4,Hong Kong,casinos/hotels,93,92.0,Gambling & Casinos
Emmanuel Besnier,19.1,France,cheese,94,50.0,Food & Beverage
Laurene Powell Jobs & family,19.0,United States,"Apple, Disney",95,57.0,Technology
Eric Schmidt,18.9,United States,Google,96,65.0,Technology
Sun Piaoyang,18.9,China,pharmaceuticals,96,62.0,Healthcare
"Theo Albrecht, Jr. & family",18.8,Germany,"Aldi, Trader Joe's",98,70.0,Fashion & Retail
Alisher Usmanov,18.4,Russia,"steel, telecom, investments",99,67.0,Metals & Mining
Robert Pera,18.3,United States,wireless networking gear,100,43.0,Technology
Wu Yajun,18.3,China,real estate,100,57.0,Real Estate
Fan Hongwei & family,18.2,China,petrochemicals,102,54.0,Energy
Dhanin Chearavanont,18.1,Thailand,diversified,103,81.0,Diversified
Peter Woo,18.0,Hong Kong,real estate,104,74.0,Real Estate
Chen Bang,17.9,China,hospitals,105,55.0,Healthcare
Andrey Melnichenko,17.9,Russia,"coal, fertilizers",105,49.0,Energy
Dustin Moskovitz,17.8,United States,Facebook,107,36.0,Technology
Su Hua,17.8,China,video streaming,107,39.0,Media & Entertainment
Donald Newhouse,17.6,United States,media,109,91.0,Media & Entertainment
Petr Kellner,17.5,Czechia,"finance, telecommunications",110,56.0,Finance & Investments
Lee Man Tat,17.4,Hong Kong,food,111,91.0,Food & Beverage
Pavel Durov,17.2,Russia,messaging app,112,36.0,Technology
James Ratcliffe,17.0,United Kingdom,chemicals,113,68.0,Manufacturing
Jorge Paulo Lemann & family,16.9,Brazil,beer,114,81.0,Food & Beverage
Reinhold Wuerth & family,16.8,Germany,fasteners,115,85.0,Manufacturing
Charlene de Carvalho-Heineken & family,16.7,Netherlands,Heineken,116,66.0,Food & Beverage
Radhakishan Damani,16.5,India,"retail, investments",117,66.0,Fashion & Retail
Wang Chuanfu,16.3,China,"batteries, automobiles",118,55.0,Automotive
Steve Cohen,16.0,United States,hedge funds,119,64.0,Finance & Investments
Ken Griffin,16.0,United States,hedge funds,119,52.0,Finance & Investments
Chen Zhiping,15.9,China,e-cigarettes,121,45.0,Manufacturing
"Ernest Garcia, II.",15.9,United States,used cars,121,63.0,Automotive
Uday Kotak,15.9,India,banking,121,62.0,Finance & Investments
Carl Icahn,15.8,United States,investments,124,85.0,Finance & Investments
Suleiman Kerimov & family,15.8,Russia,investments,124,55.0,Finance & Investments
"Thomas Frist, Jr. & family",15.7,United States,hospitals,126,82.0,Healthcare
Lukas Walton,15.6,United States,Walmart,127,34.0,Fashion & Retail
Mikhail Fridman,15.5,Russia,"oil, banking, telecom",128,56.0,Energy
Wei Jianjun & family,15.5,China,automobiles,128,57.0,Automotive
Zuo Hui,15.5,China,real estate services,128,50.0,Real Estate
Zhou Qunfei & family,15.4,Hong Kong,smartphone screens,131,51.0,Technology
Donald Bren,15.3,United States,real estate,132,88.0,Real Estate
Lakshmi Mittal,14.9,India,steel,133,70.0,Metals & Mining
Georg Schaeffler,14.9,Germany,auto parts,133,56.0,Automotive
Eric Yuan & family,14.9,United States,video conferencing,133,51.0,Technology
Wang Jianlin,14.8,China,real estate,137,66.0,Real Estate
Kwong Siu-hing,14.7,Hong Kong,real estate,138,91.0,Real Estate
Robin Li,14.7,China,internet search,138,52.0,Technology
Pallonji Mistry,14.6,Ireland,construction,140,91.0,Construction & Engineering
Eduardo Saverin,14.6,Brazil,Facebook,140,39.0,Technology
Roman Abramovich,14.5,Russia,"steel, investments",142,54.0,Diversified
David Tepper,14.5,United States,hedge funds,142,63.0,Finance & Investments
Gong Hongjia & family,14.4,Hong Kong,video surveillance,144,56.0,Finance & Investments
Mike Cannon-Brookes,14.2,Australia,software,145,41.0,Technology
"John Menard, Jr.",14.2,United States,home improvement stores,145,81.0,Fashion & Retail
Seo Jung-jin,14.2,South Korea,biotech,145,63.0,Healthcare
Cheng Yixiao,14.1,China,video streaming app,148,37.0,Media & Entertainment
Liang Wengen,14.1,China,construction equipment,148,64.0,Manufacturing
